DATE,PRODUCTION,COKE RATE,PRODUCTIVITY,CDI RATE,SLAG RATE,SINTER %,HBT,TOP PR.,MOISTURE %(T/Hr),T. D. ,TD% (Hour/24),N/D CAST %,O2 %,Avg.%Si in HM,Avg.%S in HM,COKE ASH,-5mm in sinter,AVAIL. %,Blast VOL.,BLAST PR.,Total slag,I/ore,Sinter,RAFT (?C)
01-May-23,7606,398,2.21,137,613,56.6,1178,2.26,6.7,33:25:00,139.236,0.0,5.46,0.6,0.036,14.5,8.7,100.0,6086,4.09,4664,1842,8315,2213
02-May-23,7416,397,2.15,137,629,65.8,1181,2.26,7.9,33:20:00,138.889,0.0,4.69,0.65,0.034,14.1,5.9,100.0,6027,4.04,4659,1456,8354,2206
03-May-23,6710,422,1.95,116,642,64.3,1180,2.28,10.3,33:30:00,139.583,0.0,2.49,0.67,0.026,14.2,6.4,100.0,6010,4.02,4307,1938,7739,2072
04-May-23,8004,415,2.32,125,630,62.0,1180,2.27,8.7,33:25:00,139.236,0.0,4.63,0.79,0.022,14.6,7.5,100.0,6353,4.09,5042,2295,8497,2196
05-May-23,7833,394,2.27,142,634,61.2,1181,2.27,8.5,33:30:00,139.583,0.0,5.32,0.62,0.033,14.5,15,100.0,6065,4.08,4964,2627,8061,2176
06-May-23,7508,400,2.18,140,597,59.5,1180,2.27,9.6,33:20:00,138.889,0.0,4.88,0.59,0.029,14.2,8.5,100.0,6058,4.09,4485,2703,7842,2143
07-May-23,7832,410,2.27,130,631,58.7,1181,2.27,12.9,33:50:00,140.972,0.0,5.79,0.87,0.031,14.3,4.9,100.0,6195,4.06,4943,2879,8007,2165
08-May-23,8065,402,2.34,138,636,60.6,1183,2.26,5.9,33:40:00,140.278,0.0,5.47,0.61,0.034,14.7,7,100.0,6210,4.05,5130,2988,8552,2202
09-May-23,7408,390,2.15,147,602,62.5,1182,2.19,9.7,32:30:00,135.417,0.0,5.41,0.54,0.029,14.5,6.8,100.0,5951,3.95,4458,2568,8048,2164
10-May-23,7527,405,2.18,134,617,62.1,1178,2.14,9.3,33:40:00,140.278,0.0,5.40,0.74,0.022,13.8,8,100.0,5871,3.86,4644,2595,8205,2175
11-May-23,7610,392,2.21,142,631,61.6,1180,2.26,11.5,33:20:00,138.889,0.0,5.32,0.63,0.027,14.4,5.2,100.0,5970,4.09,4802,2722,7960,2168
12-May-23,7901,400,2.29,132,620,60.0,1273,2.25,7.1,33:05:00,137.847,0.0,5.37,0.69,0.031,14.3,5.1,100.0,6132,4.07,4900,3359,8021,2150
13-May-23,7704,400,2.24,135,637,59.3,1180,2.26,10.0,33:20:00,138.889,0.0,5.70,0.7,0.034,14.1,6.6,100.0,6111,4.07,4910,3392,8106,2230
14-May-23,7902,392,2.29,136,585,60.3,1180,2.28,10.8,33:30:00,139.583,0.0,5.88,0.68,0.034,14.6,6.1,100.0,6162,4.07,4624,3347,8322,2211
15-May-23,7628,394,2.21,140,644,62.2,1181,2.26,11.4,33:40:00,140.278,0.0,6.08,0.62,0.031,14.9,6.7,100.0,5950,4.11,4914,3537,8544,2175
16-May-23,7868,407,2.28,134,583,60.7,1179,2.28,9.9,33:10:00,138.194,0.0,5.95,0.6,0.035,14.8,6.7,100.0,5882,4.1,4587,3632,8385,2201
17-May-23,7626,416,2.21,134,590,61.5,1181,2.24,9.5,32:50:00,136.806,0.0,5.23,0.64,0.033,15,5.8,100.0,5834,4.03,4497,3302,7917,2112
18-May-23,7615,426,2.21,116,580,61.5,1181,2.27,5.2,33:15:00,138.542,0.0,5.23,0.64,0.032,14.6,6.7,100.0,5879,4.12,4414,2954,8049,2160
19-May-23,8022,417,2.33,116,592,65.0,1180,2.26,5.5,33:05:00,137.847,0.0,5.46,0.74,0.02,14.9,6.3,100.0,6132,4.11,4751,2705,9283,2150
20-May-23,7912,385,2.30,154,689,65.8,1179,2.26,10.6,33:10:00,138.194,0.0,5.49,0.59,0.027,14.6,5.6,100.0,5952,4.1,4662,2660,9205,2118
21-May-23,7808,391,2.27,154,566,66.4,1181,2.26,7.1,33:05:00,137.847,0.0,5.63,0.66,0.029,14.6,4.5,100.0,5889,4.12,4423,2958,9609,2101
22-May-23,8004,412,2.32,144,550,62.9,1180,2.25,12.5,33:25:00,139.236,0.0,5.97,0.61,0.036,14.8,5.9,100.0,5951,4.11,4400,3334,8751,2156
23-May-23,8012,386,2.33,146,573,61.5,1180,2.26,11.1,33:15:00,138.542,0.0,5.99,0.55,0.032,14.6,6,100.0,5828,4.1,4954,3297,8439,2178
24-May-23,7502,415,2.18,134,560,63.7,1166,2.25,12.4,33:05:00,137.847,0.0,5.77,0.73,0.032,15.1,5.8,100.0,5644,4.05,4202,3325,7945,2139
25-May-23,7302,415,2.12,128,577,64.8,1178,2.27,6.7,33:10:00,138.194,0.0,5.69,0.62,0.022,14.5,7.3,100.0,5651,4.08,4216,3140,8177,2171
26-May-23,7702,434,2.24,100,583,63.3,1172,2.26,14.1,33:25:00,139.236,0.0,5.62,0.64,0.021,15,7.7,100.0,5865,4.05,4491,3146,8490,2181
27-May-23,7503,433,2.18,112,593,63.7,1178,2.18,13.2,33:15:00,138.542,0.0,5.25,0.72,0.025,15,5.6,100.0,5823,3.93,4450,3394,8403,2184
28-May-23,4902,430,1.71,116,570,63.4,1139,1.83,11.9,26:20:00,109.722,0.0,4.83,0.83,0.025,15,6.8,83.3,4960,3.29,2793,2154,5803,2173
29-May-23,2244,519,1.56,109,615,62.8,1150,1.54,8.5,13:30:00,56.250,0.0,2.77,0.94,0.044,14.5,5.9,41.7,4564,2.94,1381,628,1805,2138
30-May-23,7302,428,2.12,108,560,63.5,1078,2.09,14.3,30:45:00,128.125,0.0,4.38,0.85,0.029,14.9,6.6,100.0,5914,3.73,4088,2952,8637,2103
01-Jun-23,8080,397,2.35,142,562,63,1140,2.26,8.35,33:45:00,140.625,0.0,5.36,0.77,0.028,14.4,6.9,100,6227,4.04,4544,2354,8927,2191
02-Jun-23,8090,399,2.35,137,573,63.8,1116,2.27,12.68,33:15:00,138.542,0.0,5,0.74,0.021,15.1,6.3,100,6294,4.06,4639,2974,9230,2059
03-Jun-23,8082,391,2.35,152,584,59.4,1121,2.26,7.86,33:10:00,138.194,0.0,5.37,0.64,0.027,14.9,5.6,100,6079,4.1,4716,2913,8289,2138
04-Jun-23,8020,399,2.33,140,556,59.4,1139,2.26,13,33:20:00,138.889,0.0,5.34,0.6,0.027,14.4,7.3,100,6016,4.08,4460,2756,8080,2077
05-Jun-23,8012,412,2.33,134,554,60.5,1141,2.28,12.7,33:40:00,140.278,0.0,5.37,0.68,0.022,14.8,6.7,100,6133,4.06,4441,2836,8642,2106
